70,CH2Br2\_D.pm,74-95-3,Dibromomethane,0,\parencite{Stoll2003},1 L.J. Center & 1 Dipole,pm\ok,-,Rigid
71,CH2Br2\_Q.pm,74-95-3,Dibromomethane,0,\parencite{Stoll2003},2 L.J. Centers & 1 Quadrupole,pm\ok,-,Rigid
72,CH2BrCl.pm,74-97-5,Bromochloromethane,0,\parencite{Stoll2003},2 L.J. Centers & 1 Dipole,pm\ok,-,Rigid
73,CH2Cl2.pm,75-09-2,Methylene chloride,0,\parencite{Stoll2003},1 L.J. Center & 1 Dipole,pm\ok,-,Rigid
74,CH2I2.pm,75-11-6,Methylene iodide,0,\parencite{Stoll2003},1 L.J. Center & 1 Dipole,pm\ok,-,Rigid
75,CH2O.pm,50-00-0,Formaldehyde,0,\parencite{Eckl2008_C},2 L.J. Centers & 1 Dipole,pm\ok,-,Rigid
76,CH2O2.pm,64-18-6,Formic acid,0,\parencite{Schnabel2007_B},3 L.J. Centers & 4 Charges,pm\ok,-,Rigid
77,CH3Br.pm,74-83-9,Methyl bromide,0,\parencite{Stoll2003},2 L.J. Centers & 1 Dipole,pm\ok,-,Rigid
78,CH3Cl.pm,74-87-3,Methyl chloride,0,\parencite{Stoll2003},2 L.J. Centers & 1 Dipole,pm\ok,-,Rigid
79,CH3I.pm,74-88-4,Methyl iodide,0,\parencite{Stoll2003},2 L.J. Centers & 1 Dipole,pm\ok,-,Rigid
80,CH3NO2.pm,75-52-5,Nitromethane,0,\parencite{Eckl2008_C},4 L.J. Centers & 1 Dipole & 1 Quadrupole,pm\ok,-,Rigid
81,CH3OCH3.pm,115-10-6,Dimethyl ether,0,\parencite{Eckl2008_C},3 L.J. Centers & 1 Dipole ,pm\ok,-,Rigid
82,CH4.pm,74-82-8,Methane,0,\parencite{Vrabec2001},1 L.J. Center,pm\ok,-,Rigid
83,CH4O\_I.pm,67-56-1,Methyl alcohol,0,\parencite{Schnabel2007_A},2 L.J. Centers & 3 Charges,pm\ok,-,Rigid
84,CH5N.pm,74-89-5,Methylamine,0,\parencite{Schnabel2008},2 L.J. Centers & 2 Charges,pm\ok,-,Rigid
85,CH6N2.pm,60-34-4,Methylhydrazine,0,\parencite{Elts2012},3 L.J. Centers & 3 Charges,pm\ok,-,Rigid
86,CHBr3.pm,75-25-2,Bromoform,0,\parencite{Stoll2003},2 L.J. Centers & 1 Dipole,pm\ok,-,Rigid
87,CHCCH3\_I.pm,74-99-7,1-Propyne,0,\parencite{Vrabec2001},2 L.J. Centers & 1 Quadrupole,pm\ok,-,Rigid
88,CHCCH3\_II.pm,74-99-7,1-Propyne,0,\parencite{Stoll2004},2 L.J. Centers & 1 Quadrupole,pm\ok,-,Rigid
